,track_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
146,Payphone,Pop,0.0222,0.738,0.7440000000000001,0.0,0.331,-4.757,0.042,110.0,0.556,Cluster 2
147,Single Ladies (Put a Ring on It),Pop,0.0383,0.426,0.584,0.0,0.188,-5.292999999999998,0.29600000000000004,193.437,0.272,Cluster 3
148,Mirrors,Pop,0.234,0.574,0.512,0.0,0.0946,-6.664,0.0503,76.899,0.512,Cluster 4
149,Timber,Pop,0.0362,0.5870000000000001,0.965,0.0,0.138,-4.106,0.101,129.972,0.825,Cluster 1
150,I Need Your Love,Pop,0.41,0.695,0.8690000000000001,0.0,0.237,-5.066,0.0483,124.989,0.58,Cluster 1
151,Break Free,Pop,0.0057,0.687,0.698,8.75e-05,0.253,-5.29,0.0468,129.954,0.316,Cluster 1
152,Love Never Felt so Good,Pop,0.083,0.634,0.87,0.0,0.18,-5.277,0.0362,116.967,0.514,Cluster 1
153,Paradise,Pop,0.0522,0.449,0.585,8.49e-05,0.0833,-6.7620000000000005,0.0268,139.627,0.203,Cluster 1
154,Burn,Pop,0.258,0.309,0.775,0.0,0.102,-4.915,0.0546,84.73100000000002,0.279,Cluster 4
155,Paper Planes,Pop,0.0691,0.563,0.8690000000000001,0.0,0.204,-5.3610000000000015,0.206,85.97,0.428,Cluster 4
156,Last Friday Night (T.G.I.F.),Pop,0.00125,0.649,0.815,4.31e-05,0.6709999999999999,-3.796,0.0415,126.03,0.765,Cluster 1
157,Scream & Shout,Pop,0.0589,0.79,0.616,6.55e-05,0.171,-7.443,0.0596,130.009,0.473,Cluster 1
158,Somebody That I Used To Know,Pop,0.565,0.857,0.517,0.000195,0.102,-6.972,0.0384,129.063,0.754,Cluster 1
159,Some Nights,Pop,0.0178,0.672,0.738,6.75e-05,0.0927,-7.045,0.0506,107.938,0.392,Cluster 2
160,Radioactive,Pop,0.126,0.478,0.799,0.000106,0.76,-3.614,0.0638,136.268,0.17600000000000002,Cluster 1
161,Try,Pop,0.00141,0.6729999999999999,0.629,0.0,0.0944,-7.072,0.0299,103.998,0.551,Cluster 2
162,Halo,Pop,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,0.472,Cluster 4
163,Happy,Pop,0.28600000000000003,0.652,0.757,0.0,0.0886,-6.819,0.153,159.911,0.962,Cluster 3
164,Little Talks,Pop,0.0263,0.473,0.789,0.0,0.132,-5.171,0.0336,103.225,0.394,Cluster 2
165,Am I Wrong,Pop,0.162,0.725,0.68,2.13e-06,0.158,-5.465,0.0306,119.939,0.76,Cluster 1
166,Telephone,Pop,0.00587,0.825,0.8320000000000001,0.000789,0.114,-5.853,0.0403,122.021,0.713,Cluster 1
167,Boom Clap,Pop,0.0688,0.675,0.812,0.00062,0.336,-4.309,0.0566,92.013,0.64,Cluster 2
168,Wide Awake,Pop,0.0749,0.514,0.6829999999999999,2.64e-06,0.392,-5.099,0.0367,159.814,0.575,Cluster 3
169,Raise Your Glass,Pop,0.00629,0.7,0.695,0.0,0.0319,-4.973,0.0897,122.028,0.633,Cluster 1
170,Bang Bang,Pop,0.27,0.7070000000000001,0.75,0.0,0.37,-4.421,0.0824,149.997,0.736,Cluster 3
171,If I Lose Myself - Alesso vs OneRepublic,Pop,0.215,0.518,0.7829999999999999,9.53e-06,0.14,-4.88,0.0406,125.985,0.152,Cluster 1
172,Talk Dirty (feat. 2 Chainz),Pop,0.0348,0.76,0.652,0.0,0.307,-7.3210000000000015,0.232,100.315,0.759,Cluster 2
173,Ho Hey,Pop,0.779,0.685,0.474,1.23e-06,0.149,-9.105,0.0313,79.991,0.36,Cluster 4
174,What Makes You Beautiful,Pop,0.009000000000000001,0.726,0.787,0.0,0.0596,-2.494,0.0738,124.989,0.888,Cluster 1
175,Price Tag,Pop,0.032,0.64,0.831,2.06e-06,0.354,-3.908,0.221,174.963,0.684,Cluster 3
176,Classic,Pop,0.0353,0.713,0.7809999999999999,0.0,0.155,-4.859,0.121,102.078,0.8,Cluster 2
177,Starships,Pop,0.158,0.746,0.728,0.0,0.249,-2.464,0.0762,124.954,0.708,Cluster 1
178,Team,Pop,0.151,0.696,0.59,0.0,0.247,-7.428,0.0904,99.984,0.462,Cluster 2
179,Maps,Pop,0.0223,0.743,0.7170000000000001,0.0,0.0678,-5.521,0.0299,120.025,0.88,Cluster 1
180,DNA,Pop,0.022,0.598,0.775,0.0,0.0677,-4.035,0.0545,129.819,0.687,Cluster 1
181,BANG BANG BANG,Pop,0.0192,0.6940000000000001,0.8320000000000001,0.0,0.355,-3.0380000000000003,0.0598,135.011,0.424,Cluster 1
182,As If It's Your Last,Pop,0.0688,0.7859999999999999,0.853,0.0,0.0759,-2.687,0.0816,125.034,0.45,Cluster 1
183,Stay With Me,Pop,0.428,0.314,0.526,0.0,0.126,-4.686,0.0484,78.643,0.195,Cluster 4
184,Ko Ko Bop,Pop,0.0319,0.7490000000000001,0.85,4.81e-05,0.0678,-4.346,0.0468,145.983,0.672,Cluster 3
185,Blood Sweat & Tears,Pop,0.0244,0.583,0.885,0.0,0.35700000000000004,-3.571,0.106,92.959,0.601,Cluster 2
186,BOOMBAYAH,Pop,0.00264,0.6579999999999999,0.836,1.02e-06,0.507,-3.282,0.0549,124.969,0.387,Cluster 1
187,FXXK IT,Pop,0.152,0.72,0.746,0.0,0.276,-3.143,0.107,90.02600000000002,0.5870000000000001,Cluster 2
188,Monster,Pop,0.0066,0.618,0.76,0.0,0.127,-4.312,0.0596,150.0,0.541,Cluster 3
189,Beautiful,Pop,0.8420000000000001,0.524,0.405,0.0,0.107,-6.145,0.028,109.984,0.237,Cluster 2
190,Spring Day,Pop,0.0063,0.539,0.846,1.68e-06,0.13,-3.192,0.0354,106.992,0.46,Cluster 2
191,PLAYING WITH FIRE,Pop,0.0399,0.7070000000000001,0.758,0.0,0.141,-4.511,0.0917,97.037,0.674,Cluster 2
192,REALLY REALLY,Pop,0.16699999999999998,0.765,0.769,0.0,0.0854,-3.16,0.0595,103.006,0.581,Cluster 2
193,Don't Recall,Pop,0.0222,0.6940000000000001,0.748,0.0,0.155,-2.93,0.16699999999999998,92.918,0.521,Cluster 2
194,Don't Wanna Cry,Pop,0.16399999999999998,0.7809999999999999,0.6829999999999999,1.53e-06,0.16,-4.258,0.0325,100.005,0.722,Cluster 2
195,Not Today,Pop,0.00181,0.594,0.946,1.04e-06,0.923,-3.408,0.126,110.024,0.665,Cluster 2
196,WHISTLE,Pop,0.0068200000000000005,0.8220000000000001,0.7120000000000001,0.0,0.0955,-4.877,0.15,102.874,0.647,Cluster 2
197,Oh NaNa (Hidden. HUR YOUNG JI),Pop,0.0615,0.7559999999999999,0.922,0.000462,0.0723,-2.6830000000000003,0.0539,100.005,0.809,Cluster 2
198,CALL ME BABY,Pop,0.284,0.6920000000000001,0.8859999999999999,0.0,0.341,-2.519,0.0519,100.03,0.879,Cluster 2
199,Gashina,Pop,0.0556,0.722,0.833,0.0,0.195,-3.915,0.094,93.941,0.53,Cluster 2
200,러시안 룰렛 Russian Roulette,Pop,0.055,0.726,0.903,0.000225,0.158,-2.277,0.0357,129.986,0.958,Cluster 1
201,Go Go,Pop,0.171,0.856,0.617,0.0,0.0857,-5.308,0.0841,136.082,0.759,Cluster 1
202,전야 前夜 The Eve,Pop,0.0223,0.636,0.7020000000000001,0.0,0.293,-5.352,0.0334,135.10399999999998,0.516,Cluster 1
203,STAY,Pop,0.569,0.628,0.433,7.71e-06,0.104,-6.808,0.0383,88.074,0.343,Cluster 4
204,Dope,Pop,0.0272,0.579,0.8959999999999999,1.02e-06,0.35200000000000004,-2.781,0.224,153.991,0.6779999999999999,Cluster 3
205,Lotto,Pop,0.0618,0.7979999999999999,0.867,0.0,0.193,-3.207,0.0386,99.996,0.7020000000000001,Cluster 2
206,빨간 맛 Red Flavor,Pop,0.0409,0.7090000000000001,0.917,0.0,0.0839,-3.315,0.189,125.042,0.515,Cluster 1
207,Very Very Very,Pop,0.146,0.745,0.965,2.29e-06,0.0796,-1.517,0.06,102.994,0.7659999999999999,Cluster 2
208,Palette (Feat. G-DRAGON),Pop,0.458,0.804,0.68,0.0,0.102,-3.81,0.2,102.013,0.62,Cluster 2
